                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                0.87751,                0.49283,                0.89387,                0.96277,                0.94673,                0.97965,                 0.7799,                0.70117,                0.38564,                0.86986,               0.005347,               0.005347,               0.005347
                     50,                0.87419,                0.49071,                0.89067,                0.96351,                0.96091,                0.98081,                0.78102,                0.69168,                 0.3843,                0.86728,               0.005248,               0.005248,               0.005248
                     51,                0.86125,                0.48385,                0.88871,                0.96617,                0.96405,                0.98195,                0.78256,                0.68856,                0.38035,                0.86484,               0.005149,               0.005149,               0.005149
                     52,                0.86223,                0.48459,                0.89102,                0.96635,                 0.9634,                0.98269,                0.78715,                0.69143,                0.37959,                 0.8633,                0.00505,                0.00505,                0.00505
                     53,                0.85642,                0.48159,                0.88856,                0.96943,                0.96717,                0.98297,                0.78991,                0.68385,                0.37909,                0.86142,               0.004951,               0.004951,               0.004951
                     54,                0.85331,                0.47565,                0.88903,                0.97068,                0.96368,                0.98241,                0.78866,                0.68085,                0.37669,                0.86157,               0.004852,               0.004852,               0.004852
                     55,                0.84406,                0.47531,                0.88448,                0.97124,                0.96289,                0.98297,                0.78681,                0.68079,                0.37254,                0.86267,               0.004753,               0.004753,               0.004753
                     56,                0.84427,                  0.472,                0.88684,                0.96903,                0.96045,                0.98362,                  0.791,                0.67668,                0.37386,                0.86236,               0.004654,               0.004654,               0.004654
                     57,                0.84002,                0.47037,                0.88611,                0.97594,                0.95121,                0.98202,                0.79179,                0.67446,                0.37613,                 0.8621,               0.004555,               0.004555,               0.004555
                     58,                0.83369,                0.46553,                0.88509,                0.97861,                0.95645,                0.98127,                0.79134,                0.67263,                0.37093,                0.86057,               0.004456,               0.004456,               0.004456
                     59,                0.82614,                0.46311,                0.88138,                0.97546,                0.96015,                0.98231,                0.79222,                0.66704,                0.36708,                0.85809,               0.004357,               0.004357,               0.004357
                     60,                0.82405,                0.45842,                0.88196,                0.97553,                0.96339,                0.98306,                0.79176,                 0.6682,                0.36626,                0.85834,               0.004258,               0.004258,               0.004258
                     61,                0.82855,                0.46349,                0.88118,                0.97444,                0.96473,                0.98286,                0.79454,                0.66406,                0.36301,                0.85677,               0.004159,               0.004159,               0.004159
                     62,                0.81825,                0.45495,                0.87939,                0.97785,                0.96515,                0.98306,                0.79448,                0.66312,                0.35969,                0.85577,                0.00406,                0.00406,                0.00406
                     63,                0.81288,                 0.4522,                0.87811,                0.97458,                0.96561,                0.98301,                0.79634,                0.66261,                0.35663,                0.85701,               0.003961,               0.003961,               0.003961
