                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.86237,                0.51494,                0.91518,                 0.9753,                0.95072,                 0.9763,                0.77133,                0.70486,                0.41444,                0.88059,               0.002674,               0.002674,               0.002674
                     77,                0.86173,                0.51186,                0.91477,                0.97211,                0.95031,                 0.9763,                0.77183,                0.70432,                0.41354,                0.88067,               0.002575,               0.002575,               0.002575
                     78,                0.86087,                0.50793,                0.91485,                0.97248,                0.95027,                0.97627,                0.77408,                0.70293,                0.41252,                0.88061,               0.002476,               0.002476,               0.002476
                     79,                0.85761,                0.50615,                0.91078,                  0.972,                0.94978,                0.97654,                0.77461,                0.70189,                0.41029,                0.88013,               0.002377,               0.002377,               0.002377
                     80,                0.84662,                0.50336,                0.90918,                 0.9714,                0.94933,                0.97641,                0.77437,                0.70021,                0.41057,                0.87926,               0.002278,               0.002278,               0.002278
                     81,                0.85139,                0.50303,                0.91292,                0.97152,                0.94788,                0.97656,                0.77454,                0.69879,                0.40894,                0.87919,               0.002179,               0.002179,               0.002179
                     82,                0.84611,                0.49602,                0.90765,                0.97033,                0.95136,                0.97675,                0.77535,                0.69654,                0.40845,                0.87799,                0.00208,                0.00208,                0.00208
                     83,                0.83852,                 0.4934,                0.90839,                 0.9707,                0.95084,                0.97676,                0.77633,                0.69514,                0.40714,                0.87744,               0.001981,               0.001981,               0.001981
                     84,                0.83405,                0.49288,                0.90588,                 0.9704,                0.94974,                0.97659,                0.77581,                0.69384,                0.40675,                0.87685,               0.001882,               0.001882,               0.001882
                     85,                0.82797,                0.48593,                0.90632,                0.97081,                0.95046,                0.97694,                 0.7767,                 0.6924,                0.40582,                0.87605,               0.001783,               0.001783,               0.001783
                     86,                0.82065,                0.48288,                0.90197,                0.97077,                0.94965,                0.97706,                0.77744,                0.69078,                0.40476,                0.87552,               0.001684,               0.001684,               0.001684
                     87,                0.82259,                0.48461,                 0.9045,                0.97105,                0.94991,                0.97719,                0.77789,                0.69005,                0.40461,                0.87539,               0.001585,               0.001585,               0.001585
                     88,                0.82269,                0.48075,                0.90071,                0.97066,                0.95028,                0.97728,                0.77885,                0.68941,                0.40346,                0.87507,               0.001486,               0.001486,               0.001486
                     89,                0.81378,                0.47931,                0.90015,                 0.9688,                0.95499,                0.97764,                0.77957,                 0.6886,                0.40376,                0.87476,               0.001387,               0.001387,               0.001387
                     90,                0.80488,                0.47066,                0.89825,                 0.9701,                 0.9539,                0.97774,                0.77986,                0.68796,                0.40293,                0.87446,               0.001288,               0.001288,               0.001288
                     91,                0.79802,                 0.4548,                0.90215,                0.96921,                0.95459,                0.97792,                0.77959,                0.68672,                0.40199,                0.87408,               0.001189,               0.001189,               0.001189
                     92,                0.77702,                0.43992,                0.89836,                0.96754,                0.95415,                0.97787,                0.77997,                0.68485,                 0.4006,                 0.8736,                0.00109,                0.00109,                0.00109
                     93,                0.76738,                0.43553,                0.89717,                0.96817,                0.95382,                0.97799,                0.77973,                0.68339,                0.40015,                0.87341,               0.000991,               0.000991,               0.000991
                     94,                0.76264,                0.43036,                0.89306,                0.98344,                0.94248,                0.97801,                0.78101,                0.68215,                0.39947,                0.87295,               0.000892,               0.000892,               0.000892
                     95,                 0.7566,                0.42841,                0.89504,                0.98224,                0.94336,                 0.9782,                0.78033,                0.68087,                0.39819,                0.87257,               0.000793,               0.000793,               0.000793
                     96,                0.74874,                0.42667,                0.89066,                0.97814,                0.94637,                0.97834,                0.78134,                0.67969,                0.39747,                0.87221,               0.000694,               0.000694,               0.000694
                     97,                0.73631,                0.41604,                0.88605,                0.97973,                0.94504,                 0.9783,                0.78147,                0.67874,                0.39655,                0.87191,               0.000595,               0.000595,               0.000595
                     98,                0.73166,                0.41303,                0.88502,                0.97898,                0.94521,                0.97855,                0.78209,                0.67773,                0.39627,                0.87177,               0.000496,               0.000496,               0.000496
                     99,                0.72702,                0.41196,                0.88527,                0.97837,                0.94546,                0.97864,                0.78184,                0.67708,                0.39518,                0.87165,               0.000397,               0.000397,               0.000397
                    100,                0.72023,                0.40825,                0.88286,                0.97855,                 0.9458,                0.97864,                0.78151,                0.67595,                0.39486,                0.87118,               0.000298,               0.000298,               0.000298
